author_id,validation_level,rank_level
U00000,md1_validated,unk
U00001,md1_validated,level_4
U00002,md1_validated,level_3
U00003,,level_0
U00004,md_validated,level_3
U00005,,level_3
U00006,,level_0
U00007,,level_0
U00008,,level_0
U00009,,level_0
U00010,realid_validated,level_6
U00011,md3_validated,level_3
U00012,,level_3
U00013,md1_validated,level_1
U00014,,level_0
U00015,,level_0
U00016,,level_0
U00017,realid_validated,level_3
U00018,,level_4
U00019,,level_0
U00020,,level_0
U00021,,level_0
U00022,,level_0
U00023,,level_0
U00024,md_validated,level_4
U00025,md1_validated,level_3
U00026,,level_0
U00027,,level_0
U00028,md1_validated,level_1
U00029,md1_validated,level_1
U00030,,level_0
U00031,,level_0
U00032,,level_0
U00033,,level_0
U00034,,level_0
U00035,,level_0
U00036,,level_0
U00037,md1_validated,level_3
U00038,,level_3
U00039,md1_validated,level_0
U00040,md1_validated,level_3
U00041,md1_validated,level_3
U00042,,level_0
U00043,,level_0
U00044,,level_0
U00045,md2_validated,level_4
U00046,,level_3
U00047,,level_0
U00048,,level_3
U00049,,level_0
U00050,,unk
U00051,realid_validated,level_4
U00052,,level_1
U00053,realid_validated,level_0
U00054,,level_0
U00055,,level_0
U00056,,level_0
U00057,,level_0
U00058,,level_0
U00059,,level_0
U00060,,level_0
U00061,md_validated,level_3
U00062,,level_0
U00063,,level_0
U00064,,level_1
U00065,md2_validated,unk
U00066,,level_3
U00067,,level_4
U00068,,level_3
U00069,md1_validated,level_3
U00070,md1_validated,level_3
U00071,,level_3
U00072,md2_validated,level_2
U00073,md2_validated,unk
U00074,,level_4
U00075,,level_3
U00076,,level_0
U00077,md1_validated,level_4
U00078,,level_3
U00079,,level_3
U00080,md1_validated,level_0
U00081,,level_0
U00082,,level_3
U00083,md1_validated,level_4
U00084,realid_validated,unk
U00085,,unk
U00086,md1_validated,unk
U00087,md4_validated,level_6
U00088,md1_validated,unk
U00089,,level_7
U00090,,level_3
U00091,,unk
U00092,md2_validated,level_4
U00093,md_validated,level_1
U00094,,unk
U00095,,level_1
U00096,md1_validated,unk
U00097,,level_0
U00098,,level_0
U00099,,level_0
U00100,,level_0
U00101,md1_validated,level_2
U00102,,level_0
U00103,md3_validated,unk
U00104,,level_4
U00105,,level_3
U00106,,level_1
U00107,md2_validated,level_3
U00108,,unk
U00109,realid_validated,level_0
U00110,md1_validated,level_1
U00111,,level_0
U00112,,level_0
U00113,md1_validated,level_3
U00114,,level_0
U00115,,level_0
U00116,,level_0
U00117,md1_validated,level_3
U00118,md2_validated,level_3
U00119,,level_2
U00120,,unk
U00121,md2_validated,level_3
U00122,,level_0
U00123,realid_validated,level_0
U00124,md4_validated,level_1
U00125,,level_0
U00126,md1_validated,unk
U00127,,level_0
U00128,,level_0
U00129,,level_0
U00130,,level_0
U00131,,level_0
U00132,md1_validated,level_1
U00133,md1_validated,unk
U00134,,level_0
U00135,,level_0
U00136,,level_0
U00137,,level_0
U00138,,level_0
U00139,,level_1
U00140,,level_0
U00141,,level_0
U00142,,level_0
U00143,,level_3
U00144,,level_0
U00145,md1_validated,level_3
U00146,,level_0
U00147,,level_0
U00148,,level_0
U00149,md_validated,level_3
U00150,,level_1
U00151,md_validated,level_6
U00152,md_validated,level_3
U00153,,level_0
U00154,,level_1
U00155,md_validated,level_3
U00156,,level_0
U00157,,level_3
U00158,,level_0
U00159,,level_1
U00160,,level_3
U00161,,level_1
U00162,,level_6
U00163,,level_3
U00164,md2_validated,unk
U00165,md1_validated,level_3
U00166,md1_validated,level_6
U00167,,level_0
U00168,,level_3
U00169,,level_3
U00170,,level_0
U00171,,level_4
U00172,,level_0
U00173,,level_3
U00174,,level_0
U00175,md1_validated,level_3
U00176,,level_3
U00177,md2_validated,level_2
U00178,,level_4
U00179,,level_0
U00180,,level_0
U00181,md1_validated,level_4
U00182,,level_4
U00183,,unk
U00184,,level_3
U00185,,level_0
U00186,,level_0
U00187,,level_1
U00188,,level_4
U00189,,level_0
U00190,md1_validated,level_0
U00191,,level_0
U00192,,level_0
U00193,,level_0
U00194,realid_validated,unk
U00195,,level_0
U00196,,level_1
U00197,md_validated,level_1
U00198,,level_0
U00199,,level_0
U00200,,level_0
U00201,,level_2
U00202,,level_0
U00203,,level_4
U00204,,level_3
U00205,,level_0
U00206,,level_0
U00207,,level_0
U00208,,level_4
U00209,,unk
U00210,,level_0
U00211,,level_0
U00212,,level_0
U00213,,level_1
U00214,md_validated,unk
U00215,,level_0
U00216,,level_0
U00217,realid_validated,level_4
U00218,md_validated,level_3
U00219,md2_validated,level_1
U00220,md1_validated,level_0
U00221,,level_0
U00222,,level_4
U00223,md_validated,unk
U00224,md1_validated,level_3
U00225,md3_validated,level_6
U00226,,level_1
U00227,realid_validated,level_0
U00228,,level_0
U00229,,level_0
U00230,,level_0
U00231,,level_1
U00232,realid_validated,level_0
U00233,,level_0
U00234,,level_0
U00235,,level_1
U00236,md_validated,level_3
U00237,,level_0
U00238,md_validated,level_3
U00239,md2_validated,level_3
U00240,,unk
U00241,md_validated,unk
U00242,,level_0
U00243,,level_0
U00244,,level_0
U00245,,level_3
U00246,md_validated,level_4
U00247,,level_0
U00248,,level_3
U00249,,level_0
U00250,md_validated,level_1
U00251,md_validated,level_3
U00252,,level_1
U00253,realid_validated,unk
U00254,md2_validated,unk
U00255,realid_validated,level_2
U00256,,level_6
U00257,md_validated,level_3
U00258,md_validated,level_4
U00259,,level_6
U00260,md_validated,level_6
U00261,,level_4
U00262,,level_0
U00263,md1_validated,unk
U00264,,level_0
U00265,md4_validated,unk
U00266,,level_0
U00267,realid_validated,level_3
U00268,,level_0
U00269,md_validated,level_1
U00270,,level_0
U00271,md1_validated,level_6
U00272,,level_0
U00273,,level_1
U00274,,level_1
U00275,md_validated,level_2
U00276,md_validated,level_1
U00277,,level_0
U00278,,level_0
U00279,,level_0
U00280,realid_validated,unk
U00281,,level_0
U00282,,level_4
U00283,,level_0
U00284,md2_validated,level_4
U00285,,level_1
U00286,md1_validated,level_2
U00287,md1_validated,level_1
U00288,,level_0
U00289,,level_0
U00290,,level_0
U00291,md1_validated,level_4
U00292,,level_4
U00293,,level_0
U00294,md_validated,unk
U00295,,unk
U00296,md2_validated,unk
U00297,md2_validated,unk
U00298,,level_3
U00299,,unk
U00300,md1_validated,level_4
U00301,md3_validated,level_0
U00302,realid_validated,level_0
U00303,realid_validated,level_1
U00304,,level_0
U00305,,level_6
U00306,,level_1
U00307,,level_0
U00308,,level_3
U00309,,level_0
U00310,,level_1
U00311,md_validated,level_1
U00312,,unk
U00313,realid_validated,level_1
U00314,,level_4
U00315,md_validated,level_3
U00316,,level_1
U00317,,level_1
U00318,,level_0
U00319,,level_3
U00320,,level_0
U00321,,level_0
U00322,md_validated,level_3
U00323,md2_validated,unk
U00324,,level_0
U00325,,level_1
U00326,md1_validated,level_3
U00327,,level_2
U00328,,unk
U00329,md1_validated,level_1
U00330,,level_1
U00331,realid_validated,level_3
U00332,,level_0
U00333,realid_validated,level_2
U00334,md1_validated,level_2
U00335,,level_0
U00336,,level_3
U00337,,level_1
U00338,,level_0
U00339,realid_validated,level_0
U00340,,level_2
U00341,,level_0
U00342,,level_0
U00343,md_validated,level_1
U00344,realid_validated,level_3
U00345,realid_validated,level_0
U00346,,level_0
U00347,,level_2
U00348,,level_0
U00349,,level_0
U00350,md_validated,unk
U00351,md_validated,level_1
U00352,md2_validated,level_1
U00353,md_validated,level_1
U00354,,level_1
U00355,realid_validated,level_1
U00356,md_validated,unk
U00357,md_validated,level_1
U00358,md_validated,level_1
U00359,md1_validated,unk
U00360,,level_0
U00361,,level_2
U00362,,level_0
U00363,,level_1
U00364,,level_0
U00365,,level_0
U00366,,level_0
U00367,,level_0
U00368,,level_6
U00369,,level_0
U00370,,level_0
U00371,,level_0
U00372,md2_validated,level_4
U00373,md2_validated,level_3
U00374,,level_1
U00375,,level_0
U00376,,level_0
U00377,,level_0
U00378,,level_0
U00379,,level_0
U00380,,level_0
U00381,md_validated,level_3
U00382,,level_0
U00383,,level_0
U00384,,level_1
U00385,md2_validated,level_2
U00386,,level_0
U00387,,level_0
U00388,,level_1
U00389,,level_0
U00390,,level_0
U00391,,level_3
U00392,md_validated,level_1
U00393,,level_0
U00394,md_validated,level_2
U00395,,level_0
U00396,,level_1
U00397,md_validated,level_1
U00398,,unk
U00399,,level_0
U00400,,level_1
U00401,,level_0
U00402,,level_0
U00403,,level_1
U00404,,level_1
U00405,,level_1
U00406,,level_0
U00407,,level_0
U00408,md1_validated,unk
U00409,,level_0
U00410,,level_0
U00411,,level_0
U00412,,level_0
U00413,,level_1
U00414,md_validated,level_2
U00415,,level_0
U00416,md_validated,level_1
U00417,md1_validated,level_4
U00418,,level_0
U00419,,level_2
U00420,,level_1
U00421,md_validated,level_1
U00422,md1_validated,level_2
U00423,md_validated,level_1
U00424,,level_0
U00425,,level_0
U00426,realid_validated,level_1
U00427,realid_validated,level_1
U00428,,level_0
U00429,,level_1
U00430,,level_0
U00431,,level_0
U00432,realid_validated,level_4
U00433,md_validated,level_1
U00434,,level_0
U00435,,level_0
U00436,md_validated,level_1
U00437,md1_validated,level_1
U00438,,level_4
U00439,,level_0
U00440,,level_0
U00441,,level_2
U00442,,level_0
U00443,,level_0
U00444,,level_0
U00445,,level_0
U00446,,level_1
U00447,md_validated,level_2
U00448,,level_0
U00449,realid_validated,level_1
U00450,md_validated,level_1
U00451,,level_0
U00452,md_validated,unk
U00453,md2_validated,level_1
U00454,md_validated,level_1
U00455,,level_0
U00456,,level_0
U00457,,level_1
U00458,,level_0
U00459,,level_0
U00460,md1_validated,unk
U00461,,level_0
U00462,realid_validated,level_0
U00463,,level_0
U00464,md_validated,level_1
U00465,,level_0
U00466,md_validated,level_1
U00467,md_validated,level_1
U00468,,unk
U00469,,unk
U00470,,level_2
U00471,,level_2
U00472,,level_2
U00473,,level_0
U00474,md1_validated,level_1
U00475,,level_0
U00476,,level_3
U00477,md2_validated,unk
U00478,,level_0
U00479,,level_1
U00480,,level_4
U00481,,level_1
U00482,,unk
U00483,md1_validated,unk
U00484,,level_0
U00485,,level_0
U00486,,level_0
U00487,,level_0
U00488,md_validated,level_1
U00489,,level_3
U00490,md1_validated,level_4
U00491,md3_validated,unk
U00492,realid_validated,level_1
U00493,md1_validated,unk
U00494,md3_validated,level_3
U00495,md2_validated,level_1
U00496,md2_validated,level_1
U00497,,level_0
U00498,,level_0
U00499,,level_1
U00500,,level_2
U00501,,level_0
U00502,,level_0
U00503,md_validated,level_1
U00504,,level_0
U00505,md2_validated,level_3
U00506,,level_0
U00507,,level_1
U00508,md2_validated,unk
U00509,,level_1
U00510,md_validated,level_1
U00511,,level_0
U00512,md_validated,level_1
U00513,md2_validated,level_3
U00514,,level_0
U00515,md_validated,level_4
U00516,,level_0
U00517,,level_4
U00518,md2_validated,unk
U00519,md1_validated,level_1
U00520,,level_1
U00521,,level_0
U00522,,level_0
U00523,md_validated,level_1
U00524,,level_0
U00525,,level_3
U00526,md_validated,level_2
U00527,md_validated,level_4
U00528,md_validated,level_1
U00529,md_validated,level_3
U00530,md_validated,level_1
U00531,md_validated,unk
U00532,,level_0
U00533,,level_1
U00534,md3_validated,unk
U00535,,level_4
U00536,md_validated,level_1
U00537,realid_validated,level_1
U00538,md_validated,level_1
U00539,,level_0
U00540,,level_0
U00541,,level_1
U00542,,unk
U00543,,level_0
U00544,md_validated,level_1
U00545,md_validated,level_1
U00546,,level_3
U00547,,level_1
U00548,,level_0
U00549,,level_3
U00550,md2_validated,level_4
U00551,md_validated,level_3
U00552,,level_1
U00553,md2_validated,level_3
U00554,md_validated,level_1
U00555,,level_0
U00556,,level_1
U00557,,level_0
U00558,,level_2
U00559,,level_1
U00560,,level_1
U00561,,level_3
U00562,,level_0
U00563,md1_validated,level_4
U00564,,level_0
U00565,,level_2
U00566,md1_validated,level_2
U00567,,unk
U00568,,level_3
U00569,md1_validated,level_0
U00570,,level_0
U00571,md2_validated,level_2
U00572,realid_validated,level_0
U00573,,level_0
U00574,,level_0
U00575,,level_2
U00576,,level_3
U00577,,level_0
U00578,,level_2
U00579,,level_0
U00580,md_validated,level_1
U00581,,unk
U00582,,level_1
U00583,,level_0
U00584,,level_0
U00585,,level_0
U00586,md1_validated,level_3
U00587,,level_0
U00588,,level_3
U00589,,level_4
U00590,,level_4
U00591,,level_3
U00592,,level_3
U00593,,level_2
U00594,,level_1
U00595,md1_validated,level_1
U00596,md_validated,level_3
U00597,,level_3
U00598,md1_validated,level_2
U00599,realid_validated,level_4
