user_page,author_id,validation_level,rank_level,username,rank,role,forum_role_title,title_next_leveling,badges
space-uid-950493.html,U00000,md1_validated,unk,争**医,48.0,,皮肤及性传播疾病版主,,"['金钻晋级', '蓝钻晋级', '晋级四级', '晋级二级', '持之以恒LV2', '人见人爱LV4', '评论达人LV5', '医师资格认证', '实名认证', '年度优秀版主', '人见人爱LV3', '人见人爱LV2', '人见人爱LV1', '快问医生', '资质认证']"
space-uid-1036720.html,U00001,md1_validated,level_4,y****9,20.0,崭露头角,,"崭露头角, 积分 40, 距离下一级还需 11 积分","['医师资格认证', '80后', '实名认证', '持之以恒LV5']"
space-uid-361119.html,U00002,md1_validated,level_3,w****0,10.0,仁者爱医,,"仁者爱医, 积分 17, 距离下一级还需 4 积分","['我爱企鹅', '实名认证', '医师资格认证', '持之以恒LV2']"
space-uid-4082841.html,U00003,,level_0,z****8,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['持之以恒LV1']
space-uid-3530706.html,U00004,md_validated,level_3,皮****0,10.0,仁者爱医,,"仁者爱医, 积分 6, 距离下一级还需 15 积分","['实名认证', '我爱企鹅', '持之以恒LV3', '快问医生', '资质认证']"
space-uid-657456.html,U00005,,level_3,w****y,10.0,仁者爱医,,"仁者爱医, 积分 7, 距离下一级还需 14 积分",['我爱企鹅']
space-uid-6935255.html,U00006,,level_0,u****4,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-7048196.html,U00007,,level_0,a****q,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6854152.html,U00008,,level_0,u****9,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-4562536.html,U00009,,level_0,F****6,,访问学者,2014-7-13 03:34 上传,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-1116310.html,U00010,realid_validated,level_6,海**医,40.0,医名赫赫,,"医名赫赫, 积分 179, 距离下一级还需 172 积分","['实名认证', '持之以恒LV2']"
space-uid-1137244.html,U00011,md3_validated,level_3,陈*宁,10.0,仁者爱医,,"仁者爱医, 积分 11, 距离下一级还需 10 积分","['我爱企鹅', '实名认证', '副主任医师副高职称认证', '60后', '虎', '持之以恒LV5', '快问医生', '资质认证']"
space-uid-4326628.html,U00012,,level_3,左**生,10.0,仁者爱医,,"仁者爱医, 积分 8, 距离下一级还需 13 积分",['持之以恒LV1']
space-uid-4112007.html,U00013,md1_validated,level_1,傧*佣,3.0,初入杏林,,"初入杏林, 积分 1, 距离下一级还需 2 积分","['我爱企鹅', '实名认证', '医师资格认证', '持之以恒LV1']"
space-uid-6725833.html,U00014,,level_0,u****2,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-7048048.html,U00015,,level_0,u****7,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6408830.html,U00016,,level_0,g****o,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-448842.html,U00017,realid_validated,level_3,g****2,10.0,仁者爱医,2014-10-13 08:52 上传,"仁者爱医, 积分 9, 距离下一级还需 12 积分","['我爱企鹅', '实名认证', '龙', '评论达人LV1']"
space-uid-2374051.html,U00018,,level_4,h****4,20.0,崭露头角,,"崭露头角, 积分 24, 距离下一级还需 27 积分",[]
space-uid-4693039.html,U00019,,level_0,牧****9,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6998461.html,U00020,,level_0,u****3,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-689253.html,U00021,,level_0,l****u,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-1107563.html,U00022,,level_0,f****5,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-4830438.html,U00023,,level_0,w****8,,访问学者,2015-1-20 17:01 上传,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-4063943.html,U00024,md_validated,level_4,d****0,20.0,崭露头角,,"崭露头角, 积分 27, 距离下一级还需 24 积分","['快问医生', '资质认证', '持之以恒LV6']"
space-uid-2611256.html,U00025,md1_validated,level_3,m****0,10.0,仁者爱医,,"仁者爱医, 积分 5, 距离下一级还需 16 积分","['实名认证', '医师资格认证']"
space-uid-6427166.html,U00026,,level_0,t****2,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-7049091.html,U00027,,level_0,u****8,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-4386128.html,U00028,md1_validated,level_1,医****海,3.0,初入杏林,,"初入杏林, 积分 1, 距离下一级还需 2 积分","['实名认证', '医师资格认证', '快问医生', '持之以恒LV5', '资质认证']"
space-uid-778711.html,U00029,md1_validated,level_1,x****l,3.0,初入杏林,,"初入杏林, 积分 1, 距离下一级还需 2 积分","['我爱企鹅', '实名认证', '医师资格认证', '持之以恒LV5']"
space-uid-4904550.html,U00030,,level_0,p****9,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-2445126.html,U00031,,level_0,反**灸,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6346310.html,U00032,,level_0,a****2,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6401928.html,U00033,,level_0,m****6,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6536382.html,U00034,,level_0,吹***率,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6696147.html,U00035,,level_0,u****1,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-6688683.html,U00036,,level_0,z***c,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-4677781.html,U00037,md1_validated,level_3,医***Q,10.0,仁者爱医,2016-3-7 14:16 上传,"仁者爱医, 积分 17, 距离下一级还需 4 积分","['实名认证', '医师资格认证', '我爱企鹅', '持之以恒LV2', '人见人爱LV1']"
space-uid-530789.html,U00038,,level_3,2****2,10.0,仁者爱医,,"仁者爱医, 积分 10, 距离下一级还需 11 积分",['我爱企鹅']
space-uid-4236148.html,U00039,md1_validated,level_0,s****0,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分","['实名认证', '医师资格认证', '持之以恒LV5', '我爱企鹅']"
space-uid-2422376.html,U00040,md1_validated,level_3,龚*特,10.0,仁者爱医,,"仁者爱医, 积分 6, 距离下一级还需 15 积分","['实名认证', '医师资格认证', '快问医生', '资质认证', '持之以恒LV3']"
space-uid-146481.html,U00041,md1_validated,level_3,s****1,10.0,仁者爱医,,"仁者爱医, 积分 8, 距离下一级还需 13 积分","['实名认证', '医师资格认证', '快问医生', '持之以恒LV5', '资质认证']"
space-uid-1124148.html,U00042,,level_0,杖*十,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-2990069.html,U00043,,level_0,小****j,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['持之以恒LV6']
space-uid-4914624.html,U00044,,level_0,w****k,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['持之以恒LV3']
space-uid-692636.html,U00045,md2_validated,level_4,a****9,20.0,崭露头角,,"崭露头角, 积分 40, 距离下一级还需 11 积分","['我爱企鹅', '实名认证', '主治医师中级职称认证', '持之以恒LV5', '持之以恒LV6']"
space-uid-3749207.html,U00046,,level_3,j****n,10.0,仁者爱医,,"仁者爱医, 积分 8, 距离下一级还需 13 积分","['持之以恒LV5', '持之以恒LV6']"
space-uid-5004258.html,U00047,,level_0,a****1,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-843975.html,U00048,,level_3,4****0,10.0,仁者爱医,,"仁者爱医, 积分 12, 距离下一级还需 9 积分","['我爱企鹅', '持之以恒LV2']"
space-uid-2998110.html,U00049,,level_0,h****g,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['持之以恒LV1']
space-uid-284696.html,U00050,,unk,山***流,30.0,医界有名,,"医界有名, 积分 57, 距离下一级还需 94 积分",['持之以恒LV2']
space-uid-584962.html,U00051,realid_validated,level_4,h****y,20.0,崭露头角,,"崭露头角, 积分 48, 距离下一级还需 3 积分","['中秋', '实名认证', '持之以恒LV5']"
space-uid-625353.html,U00052,,level_1,赤**衣,3.0,初入杏林,,"初入杏林, 积分 1, 距离下一级还需 2 积分",['持之以恒LV4']
space-uid-3884362.html,U00053,realid_validated,level_0,墨**空,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['实名认证']
space-uid-5878781.html,U00054,,level_0,S****8,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-2941611.html,U00055,,level_0,湖**漳,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['我爱企鹅']
space-uid-3966184.html,U00056,,level_0,蒙****家,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['持之以恒LV5']
space-uid-4270680.html,U00057,,level_0,心**秋,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分","['我爱企鹅', '持之以恒LV5', '持之以恒LV6']"
space-uid-405167.html,U00058,,level_0,s****8,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['持之以恒LV2']
space-uid-2802925.html,U00059,,level_0,y****g,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",['我爱企鹅']
space-uid-4585760.html,U00060,,level_0,波***介,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-779048.html,U00061,md_validated,level_3,W****8,10.0,仁者爱医,,"仁者爱医, 积分 7, 距离下一级还需 14 积分","['我爱企鹅', '实名认证', '快问医生', '资质认证']"
space-uid-17250.html,U00062,,level_0,d****1,,访问学者,,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-868680.html,U00063,,level_0,清**零,,访问学者,2023-9-4 16:58 上传,"访问学者, 积分 0, 距离下一级还需 1 积分",[]
space-uid-90176.html,U00064,,level_1,玉**毒,3.0,初入杏林,2023-9-6 17:27 上传,"初入杏林, 积分 1, 距离下一级还需 2 积分",['我爱企鹅']
space-uid-927133.html,U00065,md2_validated,unk,w***鸟,60.0,,皮肤科专业组,,"['实名认证', '主治医师中级职称认证']"
space-uid-1011605.html,U00066,,level_3,彼**光,10.0,仁者爱医,,"仁者爱医, 积分 19, 距离下一级还需 2 积分",[]
space-uid-304249.html,U00067,,level_4,y****8,20.0,崭露头角,,"崭露头角, 积分 31, 距离下一级还需 20 积分",[]
space-uid-965447.html,U00068,,level_3,m****g,10.0,仁者爱医,,"仁者爱医, 积分 15, 距离下一级还需 6 积分",[]
space-uid-605334.html,U00069,md1_validated,level_3,0****8,10.0,仁者爱医,,"仁者爱医, 积分 6, 距离下一级还需 15 积分","['我爱企鹅', '实名认证', '医师资格认证', '持之以恒LV5', '持之以恒LV6']"
space-uid-539536.html,U00070,md1_validated,level_3,y****8,10.0,仁者爱医,,"仁者爱医, 积分 15, 距离下一级还需 6 积分","['医师资格认证', '持之以恒LV4']"
space-uid-824570.html,U00071,,level_3,w****8,10.0,仁者爱医,,"仁者爱医, 积分 12, 距离下一级还需 9 积分",['持之以恒LV3']
space-uid-588155.html,U00072,md2_validated,level_2,l****8,5.0,杏林医者,,"杏林医者, 积分 3, 距离下一级还需 2 积分","['实名认证', '主治医师中级职称认证', '快问医生', '资质认证', '持之以恒LV6']"
space-uid-213339.html,U00073,md2_validated,unk,h****i,30.0,医界有名,爱心天使,"医界有名, 积分 114, 距离下一级还需 37 积分","['医师资格认证', '实名认证', '主治医师中级职称认证', '持之以恒LV5']"
